                                     | Core 0    
  Instructions                       |      70041
  Cycles                             |     284878
  IPC                                |       0.25
  Time (ns)                          |     107097
  Idle time (ns)                     |      95563
  Idle time (%)                      |      89.2%
Branch predictor stats               |           
  num correct                        |       5008
  num incorrect                      |          6
  misprediction rate                 |      0.12%
  mpki                               |       0.09
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      11016
    num cache misses                 |         14
    miss rate                        |      0.13%
    mpki                             |       0.20
  Cache L1-D                         |           
    num cache accesses               |      43049
    num cache misses                 |          9
    miss rate                        |      0.02%
    mpki                             |       0.13
  Cache L2                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.33
  Cache L3                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.33
DRAM summary                         |           
  num dram accesses                  |         23
  average dram access latency (ns)   |     116.47
  average dram queueing delay        |      63.04
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
